fuse
 1.00000     0.05000
 0.96138     0.05023
 0.92542     0.05041
 0.89195     0.05055
 0.86078     0.05065
 0.83175     0.05071
 0.80469     0.05075
 0.77941     0.05075
 0.75576     0.05073
 0.73356     0.05070
 0.71264     0.05065
 0.69282     0.05059
 0.67393     0.05052
 0.65580     0.05045
 0.63826     0.05039
 0.62113     0.05033
 0.60425     0.05029
 0.58744     0.05026
 0.57052     0.05025
 0.55333     0.05026
 0.53570     0.05030
 0.51759     0.05037
 0.49906     0.05046
 0.48019     0.05057
 0.46107     0.05069
 0.44178     0.05081
 0.42239     0.05093
 0.40298     0.05103
 0.38364     0.05113
 0.36444     0.05120
 0.34546     0.05125
 0.32679     0.05126
 0.30849     0.05123
 0.29066     0.05116
 0.27336     0.05104
 0.25669     0.05086
 0.24071     0.05062
 0.22552     0.05030
 0.21118     0.04991
 0.19778     0.04944
 0.18537     0.04889
 0.17392     0.04825
 0.16337     0.04753
 0.15365     0.04673
 0.14472     0.04587
 0.13651     0.04493
 0.12895     0.04393
 0.12200     0.04287
 0.11558     0.04176
 0.10965     0.04059
 0.10414     0.03937
 0.09900     0.03811
 0.09416     0.03681
 0.08956     0.03547
 0.08514     0.03410
 0.08086     0.03270
 0.07663     0.03127
 0.07242     0.02983
 0.06815     0.02837
 0.06377     0.02689
 0.05926     0.02540
 0.05467     0.02391
 0.05004     0.02242
 0.04539     0.02092
 0.04077     0.01942
 0.03621     0.01792
 0.03176     0.01643
 0.02745     0.01495
 0.02331     0.01349
 0.01939     0.01203
 0.01572     0.01059
 0.01234     0.00917
 0.00930     0.00778
 0.00661     0.00640
 0.00433     0.00506
 0.00249     0.00374
 0.00113     0.00246
 0.00029     0.00121
 0.00000     0.00000
 0.00012    -0.00123
 0.00050    -0.00254
 0.00116    -0.00392
 0.00211    -0.00536
 0.00336    -0.00685
 0.00494    -0.00838
 0.00685    -0.00993
 0.00913    -0.01151
 0.01177    -0.01309
 0.01481    -0.01467
 0.01825    -0.01625
 0.02211    -0.01780
 0.02641    -0.01933
 0.03117    -0.02081
 0.03639    -0.02224
 0.04211    -0.02362
 0.04833    -0.02493
 0.05506    -0.02615
 0.06234    -0.02729
 0.07017    -0.02833
 0.07854    -0.02927
 0.08745    -0.03012
 0.09684    -0.03087
 0.10672    -0.03154
 0.11704    -0.03213
 0.12779    -0.03264
 0.13894    -0.03309
 0.15046    -0.03347
 0.16233    -0.03379
 0.17453    -0.03405
 0.18703    -0.03427
 0.19980    -0.03445
 0.21282    -0.03458
 0.22607    -0.03469
 0.23952    -0.03477
 0.25314    -0.03482
 0.26692    -0.03486
 0.28082    -0.03488
 0.29482    -0.03490
 0.30890    -0.03491
 0.32305    -0.03492
 0.33725    -0.03493
 0.35149    -0.03493
 0.36577    -0.03492
 0.38007    -0.03491
 0.39438    -0.03488
 0.40869    -0.03484
 0.42298    -0.03479
 0.43726    -0.03472
 0.45150    -0.03463
 0.46571    -0.03452
 0.47985    -0.03440
 0.49393    -0.03425
 0.50794    -0.03408
 0.52186    -0.03389
 0.53568    -0.03367
 0.54939    -0.03342
 0.56298    -0.03314
 0.57645    -0.03283
 0.58986    -0.03246
 0.60337    -0.03201
 0.61713    -0.03144
 0.63129    -0.03071
 0.64603    -0.02977
 0.66148    -0.02860
 0.67780    -0.02716
 0.69515    -0.02540
 0.71369    -0.02330
 0.73356    -0.02081
 0.75493    -0.01791
 0.77795    -0.01454
 0.80278    -0.01068
 0.82956    -0.00628
 0.85846    -0.00131
 0.88964     0.00426
 0.92324     0.01048
 0.95942     0.01738
 0.99833     0.02500
